cohort,epoch,patient_id,nfe,psnr_db,ssim,psnr_db_wt,ssim_wt,psnr_db_bg,ssim_bg,latent_mse,latent_l1,latent_cosine,gen_sec,decode_sec
IvyGAP,3,W39,20,24.664047241210938,0.8987519145011902,11.528327941894531,0.9738631844520569,26.426891326904297,0.9156244397163391,1.5801922082901,0.9968451857566833,0.1300061047077179,0.8704613652080297,1.1516241589561105
IvyGAP,3,W4,1,24.560710906982422,0.15968385338783264,11.488969802856445,0.9068601727485657,25.718610763549805,0.16955670714378357,0.8413143754005432,0.7271140217781067,0.3255372941493988,0.047235903330147266,1.1559640252962708
IvyGAP,3,W4,2,26.54391098022461,0.3467726707458496,13.349882125854492,0.9581417441368103,27.741853713989258,0.3583422899246216,1.0210496187210083,0.8012195229530334,0.21303649246692657,0.09467671439051628,0.995364410802722
IvyGAP,3,W4,5,26.23445701599121,0.8549712896347046,12.313223838806152,0.9388592839241028,27.704877853393555,0.8676069378852844,1.2542210817337036,0.8885157704353333,0.16251271963119507,0.2285976940765977,1.1724258735775948
IvyGAP,3,W4,10,26.43866539001465,0.9216578602790833,12.602027893066406,0.9486109018325806,27.874046325683594,0.9348207116127014,1.4045034646987915,0.9396947622299194,0.14100028574466705,0.43913492001593113,1.1440343288704753
IvyGAP,3,W4,20,25.995685577392578,0.9188731908798218,11.933940887451172,0.9357520937919617,27.52650260925293,0.9321577548980713,1.49313223361969,0.969212532043457,0.1324947029352188,0.8728422010317445,1.1933670938014984
IvyGAP,3,W54,1,22.38821029663086,0.2035902887582779,12.319340705871582,0.9224417805671692,23.0206298828125,0.21579323709011078,0.8308065533638,0.7213942408561707,0.370397686958313,0.04713187646120787,1.0845789089798927
IvyGAP,3,W54,2,23.77275276184082,0.41757896542549133,12.453981399536133,0.9241113066673279,24.66459083557129,0.43084484338760376,1.0176105499267578,0.798434853553772,0.23897145688533783,0.09479893557727337,1.2153515620157123
IvyGAP,3,W54,5,22.905872344970703,0.9016116261482239,12.277097702026367,0.9211335182189941,23.64345932006836,0.9149723052978516,1.286685585975647,0.8990322947502136,0.17723579704761505,0.2220343565568328,1.1413596961647272
IvyGAP,3,W54,10,21.92171859741211,0.8983672261238098,11.236665725708008,0.8959639072418213,22.670799255371094,0.9115386605262756,1.441353678703308,0.9511882662773132,0.1563921421766281,0.4348126919940114,1.096019166521728
IvyGAP,3,W54,20,22.097700119018555,0.8955436944961548,11.085399627685547,0.885522723197937,22.91731071472168,0.9089666604995728,1.502732515335083,0.9718491435050964,0.14956273138523102,0.8660910669714212,1.0947285322472453
LUMIERE,3,Patient-001__week-000-1,1,24.586668014526367,0.18394610285758972,15.661720275878906,0.9903765916824341,24.861270904541016,0.19242526590824127,0.8920087218284607,0.7493383288383484,0.30660146474838257,0.06257346551865339,1.0870946692302823
LUMIERE,3,Patient-001__week-000-1,2,25.499786376953125,0.4053862988948822,15.590228080749512,0.9892216920852661,25.857921600341797,0.4143581986427307,1.0740429162979126,0.8217958807945251,0.19927284121513367,0.09447656013071537,1.0259566539898515
LUMIERE,3,Patient-001__week-000-1,5,25.409822463989258,0.8887936472892761,15.377126693725586,0.9889856576919556,25.779932022094727,0.8981353640556335,1.339314341545105,0.9172450304031372,0.14786379039287567,0.221401852555573,1.0958619602024555
LUMIERE,3,Patient-001__week-000-1,10,25.051101684570312,0.8877447843551636,14.988048553466797,0.9887714385986328,25.42422103881836,0.8972740769386292,1.4926224946975708,0.9687300324440002,0.12777288258075714,0.4431935893371701,1.0941581763327122
LUMIERE,3,Patient-001__week-000-1,20,24.72934341430664,0.8859182596206665,14.737387657165527,0.9866300821304321,25.09544563293457,0.8954522013664246,1.5750700235366821,0.9949537515640259,0.12507979571819305,0.8663188330829144,1.1105241840705276
LUMIERE,3,Patient-001__week-000-2,1,21.453418731689453,0.15504354238510132,13.837071418762207,0.948258638381958,21.565229415893555,0.16031208634376526,0.8690610527992249,0.7396065592765808,0.3223334550857544,0.0474275266751647,1.1358657646924257
LUMIERE,3,Patient-001__week-000-2,2,23.294063568115234,0.4642418324947357,14.094337463378906,0.957017719745636,23.466556549072266,0.46970969438552856,1.0571671724319458,0.8154446482658386,0.207882821559906,0.09466422349214554,1.1123306527733803
LUMIERE,3,Patient-001__week-000-2,5,22.362422943115234,0.8776348829269409,13.582155227661133,0.9475674033164978,22.51654052734375,0.8828722834587097,1.3155477046966553,0.909769594669342,0.15334253013134003,0.22373340371996164,1.092926524579525
LUMIERE,3,Patient-001__week-000-2,10,22.155820846557617,0.8763066530227661,13.241552352905273,0.9462087750434875,22.315608978271484,0.8814252614974976,1.4634052515029907,0.9602189660072327,0.13713786005973816,0.4406905444338918,1.1324113281443715
LUMIERE,3,Patient-001__week-000-2,20,21.57050895690918,0.8734101057052612,12.818645477294922,0.9340208768844604,21.72344970703125,0.8783661127090454,1.557536005973816,0.9895822405815125,0.12856525182724,0.8730263952165842,1.151113216765225
LUMIERE,3,Patient-001__week-044,1,18.862932205200195,0.17847292125225067,12.674074172973633,0.9131654500961304,18.926179885864258,0.18197444081306458,0.8036773800849915,0.709276020526886,0.3730756938457489,0.04780613910406828,1.2005641954019666
LUMIERE,3,Patient-001__week-044,2,19.87646484375,0.38971734046936035,12.789087295532227,0.9137257933616638,19.95903778076172,0.3930782079696655,0.9868553280830383,0.7857944369316101,0.24366024136543274,0.09369379840791225,0.9941484481096268
LUMIERE,3,Patient-001__week-044,5,19.10175323486328,0.8865474462509155,11.723983764648438,0.8775638937950134,19.191497802734375,0.8894046545028687,1.2580071687698364,0.8884238600730896,0.18031197786331177,0.2220915872603655,1.1615394363179803
LUMIERE,3,Patient-001__week-044,10,18.669530868530273,0.8871374726295471,12.601533889770508,0.9132988452911377,18.73047637939453,0.8904737234115601,1.4072028398513794,0.9395960569381714,0.16187399625778198,0.4349199905991554,1.142906147055328
